name,score,type,episodes,ranking,duration,PG_13,R,PG,R_plus,G,manga,book,music,game,other,original
Gungrave,7.87,TV,26,714,25,0,1,0,0,0,0,0,0,1,0,0
Golden Boy,8.03,OVA,6,507,29,0,0,0,1,0,1,0,0,0,0,0
Bleach,7.8,TV,366,818,24,1,0,0,0,0,1,0,0,0,0,0
Hellsing,7.5,TV,13,1586,23,0,1,0,0,0,1,0,0,0,0,0
Gad Guard,6.7,TV,26,4887,25,1,0,0,0,0,0,0,0,0,0,1
Noir,7.31,TV,26,2278,24,1,0,0,0,0,0,0,0,0,0,1
Mahoutsukai ni Taisetsu na Koto,6.75,TV,12,4700,24,1,0,0,0,0,1,0,0,0,0,0
Kiddy Grade,7.22,TV,24,2683,23,0,0,0,1,0,0,0,0,0,0,1
Love♥Love?,5.91,TV,9,8506,15,0,0,0,1,0,0,0,0,0,0,1
Mahoromatic: Automatic Maiden,7.18,TV,12,2860,24,0,0,0,1,0,1,0,0,0,0,0
Mahoromatic: Motto Utsukushii Mono,7.17,TV,14,2918,24,0,0,0,1,0,1,0,0,0,0,0
Viewtiful Joe,6.75,TV,51,4674,20,1,0,0,0,0,0,0,0,1,0,0
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,TV,13,2999,24,0,1,0,0,0,0,1,0,0,0,0
Animal Yokochou,6.83,TV,51,4306,23,0,0,0,0,1,1,0,0,0,0,0
Akane Maniax,5.74,OVA,3,9040,27,1,0,0,0,0,0,1,0,0,0,0
Angel Heart,7.3,TV,50,2317,23,1,0,0,0,0,1,0,0,0,0,0
Akage no Anne,7.7,TV,50,1012,25,0,0,0,0,1,0,1,0,0,0,0
Area 88 (TV),7.03,TV,12,3517,25,1,0,0,0,0,1,0,0,0,0,0
Argento Soma,6.8,TV,25,4422,25,1,0,0,0,0,0,0,0,0,0,1
B'T X,7.05,TV,25,3446,22,1,0,0,0,0,1,0,0,0,0,0
Grappler Baki (TV),7.44,TV,24,1779,25,1,0,0,0,0,1,0,0,0,0,0
Bakuten Shoot Beyblade,6.73,TV,51,4754,23,0,0,1,0,0,1,0,0,0,0,0
Comic Party,6.59,TV,13,5438,24,1,0,0,0,0,0,1,0,0,0,0
Seikai no Monshou,7.69,TV,13,1046,26,1,0,0,0,0,0,1,0,0,0,0
D.C.S.S: Da Capo Second Season,7.01,TV,26,3606,25,1,0,0,0,0,0,1,0,0,0,0
Dear Boys,6.85,TV,26,4240,24,1,0,0,0,0,1,0,0,0,0,0
Di Gi Charat,6.73,TV,16,4758,4,0,0,0,0,1,0,0,0,0,0,1
